Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Lote/Terreno para comprar com 567 m² em
Parque Laranjeiras, Rio Verde",R$ 580.000,Parque Laranjeiras,Rio Verde,N/A,567 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-parque-laranjeiras-rio-verde-567m2-id-2773386121/?source=ranking%2Crp
"Sobrado para comprar com 186 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Gameleira, Rio Verde",R$ 980.000,Residencial Gameleira,Rio Verde,N/A,186 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-residencial-gameleira-rio-verde-186m2-id-2836805115/?source=ranking%2Crp
"Casa de condomínio para comprar com 140 m², 3 quartos, 2 banheiros, 4 vagas em
Conjunto Morada do Sol, Rio Verde",R$ 1.300.000,Conjunto Morada do Sol,Rio Verde,N/A,140 m²,3,2,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-conjunto-morada-do-sol-rio-verde-140m2-id-2725809250/?source=ranking%2Crp
"Fazenda/Sítio/Chácara para comprar com 200 m² em
Setor Central, Rio Verde",R$ 47.000.000,Setor Central,Rio Verde,N/A,200 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-setor-central-rio-verde-200m2-id-2809484445/?source=ranking%2Crp
"Lote/Terreno para comprar com 550000 m² em
Área Rural de Rio Verde, Rio Verde",R$ 18.350.000,Área Rural de Rio Verde,Rio Verde,Área Rural,550000 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-area-rural-de-rio-verde-rio-verde-550000m2-id-2853672420/?source=ranking%2Crp
"Casa para comprar com 300 m², 3 quartos, 1 banheiro, 4 vagas em
Residencial Jardim Campestre, Rio Verde",R$ 2.500.000,Residencial Jardim Campestre,Rio Verde,N/A,300 m²,3,1,4,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-residencial-jardim-campestre-rio-verde-300m2-id-2554365185/?source=ranking%2Crp
"Casa para comprar com 115 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Gameleira, Rio Verde",R$ 850.000,Residencial Gameleira,Rio Verde,N/A,115 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-residencial-gameleira-rio-verde-115m2-id-2826712016/?source=ranking%2Crp
"Lote/Terreno para comprar com 420 m² em
Jardim Esperanza, Rio Verde",R$ 360.000,Jardim Esperanza,Rio Verde,N/A,420 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-jardim-esperanza-rio-verde-420m2-id-2757925335/?source=ranking%2Crp
"Sala/Conjunto para comprar com 31 m² em
Odília, Rio Verde",R$ 429.963,Odília,Rio Verde,N/A,31 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-odilia-rio-verde-31m2-id-2767751618/?source=ranking%2Crp
"Apartamento para comprar com 56 m², 2 quartos, 1 banheiro em
Condomínio Yes Garden, Rio Verde",A partir de R$ 450.000,Condomínio Yes Garden,Rio Verde,N/A,56 m²,2,1,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-condominio-yes-garden-rio-verde-56m2-id-2859755154/?source=ranking%2Crp
