Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Sobrado para comprar com 283 m², 4 quartos, 5 banheiros, 4 vagas em
Jardins Lisboa, Goiânia",R$ 1.899.000,Jardins Lisboa,Goiânia,Rua das Hortênsias,283 m²,4,5,4,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-mobiliado-jardins-lisboa-goiania-283m2-id-2729323174/?source=ranking%2Crp
"Apartamento para comprar com 123 m², 3 quartos, 4 banheiros, 3 vagas em
Jardim Goiás, Goiânia",R$ 1.199.000,Jardim Goiás,Goiânia,Rua 70,123 m²,3,4,3,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jardim-goias-goiania-123m2-id-2732534319/?source=ranking%2Crp
"Casa para comprar com 110 m², 3 quartos, 1 banheiro, 3 vagas em
Residencial Guarema, Goiânia",R$ 550.000,Residencial Guarema,Goiânia,Rua RM 3,110 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-guarema-goiania-110m2-id-2858856683/?source=ranking%2Crp
"Apartamento para comprar com 119 m², 3 quartos, 3 banheiros, 2 vagas em
Setor Bueno, Goiânia",R$ 680.000,Setor Bueno,Goiânia,Rua T 60,119 m²,3,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-seguranca-interna-setor-bueno-goiania-119m2-id-2852855276/?source=ranking%2Crp
"Imóvel para comprar com 160 m², 3 quartos, 5 banheiros, 2 vagas em
Jardim América, Goiânia",R$ 1.450.000,Jardim América,Goiânia,Rua C21,160 m²,3,5,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-america-goiania-160m2-id-2846442717/?source=ranking%2Crp
"Casa de condomínio para comprar com 390 m², 5 quartos, 5 banheiros, 4 vagas em
Jardins Paris, Goiânia",R$ 3.790.000,Jardins Paris,Goiânia,Avenida Diógenes Dolival Sampaio,390 m²,5,5,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-academia-jardins-paris-goiania-390m2-id-2851394023/?source=ranking%2Crp
"Cobertura para comprar com 252 m², 4 quartos, 6 banheiros, 4 vagas em
Jardim América, Goiânia",R$ 2.650.000,Jardim América,Goiânia,Rua C238,252 m²,4,6,4,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-piscina-jardim-america-goiania-252m2-id-2777496048/?source=ranking%2Crp
"Apartamento para comprar com 98 m², 3 quartos, 3 banheiros, 2 vagas em
Jardim Goiás, Goiânia",R$ 560.000,Jardim Goiás,Goiânia,Rua 38,98 m²,3,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-jardim-goias-goiania-98m2-id-2835028854/?source=ranking%2Crp
"Casa de condomínio para comprar com 218 m², 4 quartos, 6 banheiros, 4 vagas em
Fazenda Vau das Pombas, Goiânia",R$ 2.100.000,Fazenda Vau das Pombas,Goiânia,Rodovia GO-020,218 m²,4,6,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-fazenda-vau-das-pombas-goiania-218m2-id-2812585419/?source=ranking%2Crp
"Casa de condomínio para comprar com 390 m², 3 quartos, 4 banheiros, 4 vagas em
Loteamento Portal do Sol I, Goiânia",R$ 1.600.000,Loteamento Portal do Sol I,Goiânia,Rua SB 22,390 m²,3,4,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-loteamento-portal-do-sol-i-goiania-390m2-id-2856603584/?source=ranking%2Crp
